nome_variacao_original,ocorrencias,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,variacao_a_adicionar,observacao,confianca
US DOE,,revisar_manualmente,revisao_manual,Indefinido,US DOE,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Dept Agr Sci,,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Agricultural Science,,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Embrapa Semiarido,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Embrapa Semiarido,Embrapa Semiarido,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Sasurie Coll Engn,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sasurie College Engineering,Sasurie Coll Engn,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Jiaxing Vocat & Tech Coll,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Jiaxing Vocat & Technology College,Jiaxing Vocat & Tech Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Zhejiang Dongfang Polytech,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Zhejiang Dongfang Polytech,Zhejiang Dongfang Polytech,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Politecn Tulancingo,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Politécnica Tulancingo,Univ Politecn Tulancingo,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Westfal Hsch,,revisar_manualmente,revisao_manual,Indefinido,Westfal Hsch,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Apeejay Stya Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Apeejay Stya University,Apeejay Stya Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
SVKMs Narsee Monjee Inst Management Studies NMIMS,,revisar_manualmente,revisao_manual,Indefinido,SVKMs Narsee Monjee Institute Management Studies NMIMS,,Não há padrão suficiente para corrigir automaticamente.,Baixa
KR Mangalam Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,KR Mangalam University,KR Mangalam Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Minist Agr Fisheries Blue & Green Econ Dominica,,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Agricultural Fisheries Blue & Green Econ Dominica,,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Swinburne Business Sch,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Swinburne Business Sch,Swinburne Business Sch,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Indeloop Ltd,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Indeloop Ltd,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Christ Univ Deemed,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Christ University Deemed,Christ Univ Deemed,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sher Ekashmir Univ Agr Sci & Technol Jammu,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sher Ekashmir University Agricultural Science & Technology Jammu,Sher Ekashmir Univ Agr Sci & Technol Jammu,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Tianjin Sino German Univ Appl Sci,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Tianjin Sino German University Appl Science,Tianjin Sino German Univ Appl Sci,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Tianjin Agr Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Tianjin Agricultural University,Tianjin Agr Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Shandong First Med Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Shandong First Med University,Shandong First Med Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Shandong Prov Qianfoshan Hosp,,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Shandong Prov Qianfoshan Hospital,,Não cadastrar como instituição de ensino principal.,Alta
Guangdong Univ Sci & Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Guangdong University Science & Technology,Guangdong Univ Sci & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Shandong Acad Agr Machinery Sci,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Shandong Acad Agricultural Machinery Science,Shandong Acad Agr Machinery Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Manav Rachna Int Inst Res & Studies Deemed Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Manav Rachna Int Institute Research & Studies Deemed University,Manav Rachna Int Inst Res & Studies Deemed Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Indian Inst Informat Technol Design & Mfg IIITD&M,,revisar_manualmente,revisao_manual,Indefinido,Indian Institute Informat Technology Design & Mfg IIITD&M,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Guangzhou Med Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Guangzhou Med University,Guangzhou Med Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Ctr Sci & Tech Res,,revisar_manualmente,revisao_manual,Indefinido,National Center Science & Technology Research,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Natl Ctr Nucl Energy Sci & Technol,,revisar_manualmente,revisao_manual,Indefinido,National Center Nucl Energy Science & Technology,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Natl Sch Mines,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National Sch Mines,Natl Sch Mines,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Univ Singapore Suzhou Res Inst,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National University Singapore Suzhou Research Institute,Natl Univ Singapore Suzhou Res Inst,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ North Carolina Charlotte,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University North Carolina Charlotte,Univ North Carolina Charlotte,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Hajee Mohammed Danesh Sci & Technol Univ HSTU,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Hajee Mohammed Danesh Science & Technology University HSTU,Hajee Mohammed Danesh Sci & Technol Univ HSTU,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
ALM Adaptiv Lernende Maschinen Gesell Beschrankter,,revisar_manualmente,revisao_manual,Indefinido,ALM Adaptiv Lernende Maschinen Gesell Beschrankter,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Belgrade Metropolitan Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Belgrade Metropolitan University,Belgrade Metropolitan Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Bana Josipa Jelacica 4,,revisar_manualmente,revisao_manual,Indefinido,Bana Josipa Jelacica 4,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Univ JJ Strossmayer Osijek,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University JJ Strossmayer Osijek,Univ JJ Strossmayer Osijek,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sichuan Water Conservancy Vocat Coll,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sichuan Water Conservancy Vocat College,Sichuan Water Conservancy Vocat Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
INTA CONICET,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,INTA CONICET,INTA CONICET,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Univ Nacl Comahue CRUB UNCOMA,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Nacl Comahue CRUB UNCOMA,Univ Nacl Comahue CRUB UNCOMA,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Ctr Reg Patagonia Norte,,revisar_manualmente,revisao_manual,Indefinido,Center Reg Patagonia Norte,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Univ Republ UdelaR,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Republ UdelaR,Univ Republ UdelaR,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
PAU Krishi Vigyan Kendra,,revisar_manualmente,revisao_manual,Indefinido,PAU Krishi Vigyan Kendra,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Uttar Banga Krishi Vishwavidyalaya,,revisar_manualmente,revisao_manual,Indefinido,Uttar Banga Krishi Vishwavidyalaya,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Univ Fed Alagoas,,adicionar_como_variacao,instituicoes,Universidade,Universidade Federal de Alagoas,Univ Fed Alagoas,Corrigir nome oficial.,Alta
Shahid Chamran Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Shahid Chamran University,Shahid Chamran Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
ACER Consulting,,revisar_manualmente,revisao_manual,Indefinido,ACER Consulting,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Jiangsu Wiscom Technol Co Ltd,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Jiangsu Wiscom Technology Co Ltd,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Fed Univ Para,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Federal University Para,Fed Univ Para,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Fed Inst Educ Sci & Technol Ceara,,revisar_manualmente,revisao_manual,Indefinido,Federal Institute Educ Science & Technology Ceara,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Sri Sairam Engn Coll,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sri Sairam Engineering College,Sri Sairam Engn Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Hosp Southampton NHS Trust,,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Hospital Southampton NHS Trust,Univ Hosp Southampton NHS Trust,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
MIT Sq,,revisar_manualmente,revisao_manual,Indefinido,MIT Sq,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Circular Bioecon Alliance,,revisar_manualmente,revisao_manual,Indefinido,Circular Bioecon Alliance,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Changchun Univ Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Changchun University Technology,Changchun Univ Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Kharkiv Natl Automobile & Highway Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Kharkiv National Automobile & Highway University,Kharkiv Natl Automobile & Highway Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Kyonggi Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Kyonggi University,Kyonggi Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Mil Inst Sci & Technol,,revisar_manualmente,revisao_manual,Indefinido,Mil Institute Science & Technology,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Bangladesh Univ Profess,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Bangladesh University Profess,Bangladesh Univ Profess,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Frontier Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Frontier Technology,Univ Frontier Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Fed Itajuba UNIFEI,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Federal Itajuba UNIFEI,Univ Fed Itajuba UNIFEI,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Fire Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Fire University,Fire Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Woxsen Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Woxsen University,Woxsen Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Estatal Sonora,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Estatal Sonora,Univ Estatal Sonora,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
HANCOM InSpace,,revisar_manualmente,revisao_manual,Indefinido,HANCOM InSpace,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Ulm Univ Appl Sci,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Ulm University Appl Science,Ulm Univ Appl Sci,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Tongren Polytech Coll,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Tongren Polytech College,Tongren Polytech Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Wenzhou Vocat Coll Sci & Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Wenzhou Vocat College Science & Technology,Wenzhou Vocat Coll Sci & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Wenzhou Key Lab Al Agents Agr,,revisar_manualmente,revisao_manual,Indefinido,Wenzhou Key Lab Al Agents Agricultural,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Hedi Rais Inst Ophthalmol,,revisar_manualmente,revisao_manual,Indefinido,Hedi Rais Institute Ophthalmol,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Higher Inst Technol Studies Bizerte,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Higher Institute Technology Studies Bizerte,Higher Inst Technol Studies Bizerte,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Henan Geol Bur,,revisar_manualmente,revisao_manual,Indefinido,Henan Geol Bur,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Abbes Laghrour Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Abbes Laghrour University,Abbes Laghrour Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Bouira,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Bouira,Univ Bouira,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Targa Ouzemmour,,revisar_manualmente,revisao_manual,Indefinido,Targa Ouzemmour,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Larbi Ben MHidi Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Larbi Ben MHidi University,Larbi Ben MHidi Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Res Unit Anal & Technol Dev Environm URADTE CRAPC,,revisar_manualmente,revisao_manual,Indefinido,Research Unit Anal & Technology Dev Environment URADTE CRAPC,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Pesticide Qual Control Lab,,revisar_manualmente,revisao_manual,Indefinido,Pesticide Qual Control Lab,,Não há padrão suficiente para corrigir automaticamente.,Baixa
FMC Med Ctr,,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,FMC Med Center,,Não cadastrar como instituição de ensino principal.,Alta
Spotlab,,revisar_manualmente,revisao_manual,Indefinido,Spotlab,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Toronto Gen Hosp,,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Toronto Gen Hospital,,Não cadastrar como instituição de ensino principal.,Alta
Univ Lausanne,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Lausanne,Univ Lausanne,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
SIB Swiss Inst Bioinformat,,revisar_manualmente,revisao_manual,Indefinido,SIB Swiss Institute Bioinformat,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Renji Hosp,,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Renji Hospital,,Não cadastrar como instituição de ensino principal.,Alta
Barcelona Supercomp Ctr BSC,,revisar_manualmente,revisao_manual,Indefinido,Barcelona Supercomp Center BSC,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Inst Res Biomed IRB,,revisar_manualmente,revisao_manual,Indefinido,Institute Research Biomed IRB,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Catalan Inst Res & Adv Studies ICREA,,revisar_manualmente,revisao_manual,Indefinido,Catalan Institute Research & Adv Studies ICREA,,Não há padrão suficiente para corrigir automaticamente.,Baixa
An Giang Univ Ung,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,An Giang University Ung,An Giang Univ Ung,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
An Giang Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,An Giang University,An Giang Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Minist Agr & Forestry,,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Agricultural & Forestry,,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
ICAR CIAH RS Cent Hort Expt Stn,,revisar_manualmente,revisao_manual,Indefinido,ICAR CIAH RS Cent Hort Expt Stn,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Shandong Vocat Coll Sci & Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Shandong Vocat College Science & Technology,Shandong Vocat Coll Sci & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Ctr Invest Alimentac & Desarrollo CIAD,,revisar_manualmente,revisao_manual,Indefinido,Center Invest Alimentac & Desarrollo CIAD,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Ctr Invest Alimentac & Desarrollo,,revisar_manualmente,revisao_manual,Indefinido,Center Invest Alimentac & Desarrollo,,Não há padrão suficiente para corrigir automaticamente.,Baixa
SINTEF Ocean,,revisar_manualmente,revisao_manual,Indefinido,SINTEF Ocean,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Leroy Seafood Grp ASA,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Leroy Seafood Grp ASA,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
RVGA Coll,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,RVGA College,RVGA Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Nouakchott Aasriya,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Nouakchott Aasriya,Univ Nouakchott Aasriya,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
RPTU Univ Kaiserslautern Landau,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,RPTU University Kaiserslautern Landau,RPTU Univ Kaiserslautern Landau,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Masaryk Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Masaryk University,Masaryk Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
SIES Grad Sch Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,SIES Grad Sch Technology,SIES Grad Sch Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
TecNM,,revisar_manualmente,revisao_manual,Indefinido,TecNM,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Autonomous Univ Ciudad Juarez,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Autonomous University Ciudad Juarez,Autonomous Univ Ciudad Juarez,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Technol Univ Rodeo,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Technology University Rodeo,Technol Univ Rodeo,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
TecNM IT Durango,,revisar_manualmente,revisao_manual,Indefinido,TecNM IT Durango,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Bavarian State Inst Soil Sci & Agron,,revisar_manualmente,revisao_manual,Indefinido,Bavarian State Institute Soil Science & Agron,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Agrematch Ltd,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Agrematch Ltd,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
SantAnna Sch Adv Studies,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,SantAnna Sch Adv Studies,SantAnna Sch Adv Studies,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Cote Azur,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Cote Azur,Univ Cote Azur,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Kursk State Agr Acad,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Kursk State Agricultural Acad,Kursk State Agr Acad,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Kursk State Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Kursk State University,Kursk State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Nacl Rio Cuarto,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Nacl Rio Cuarto,Univ Nacl Rio Cuarto,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Nacl Mar Del Plata UNMdP,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Nacl Mar Del Plata UNMdP,Univ Nacl Mar Del Plata UNMdP,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Embrapa Agrobiol,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Embrapa Agrobiol,Embrapa Agrobiol,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Indian Inst Sci Educ & Res,,revisar_manualmente,revisao_manual,Indefinido,Indian Institute Science Educ & Research,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Univ Nacl Tucuman,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Nacl Tucuman,Univ Nacl Tucuman,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Claude Bernard Lyon 1,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Claude Bernard Lyon 1,Univ Claude Bernard Lyon 1,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Bashan Inst Sci,,revisar_manualmente,revisao_manual,Indefinido,Bashan Institute Science,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Fed Inst Sul Minas Gerais,,revisar_manualmente,revisao_manual,Indefinido,Federal Institute Sul Minas Gerais,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Fed Inst Mato Grosso Sul IFMS,,revisar_manualmente,revisao_manual,Indefinido,Federal Institute Mato Grosso Sul IFMS,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Fac Ciencias Agr & Vet,,revisar_manualmente,revisao_manual,Indefinido,Fac Ciencias Agricultural & Vet,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Sichuan Key Lab,,revisar_manualmente,revisao_manual,Indefinido,Sichuan Key Lab,,Não há padrão suficiente para corrigir automaticamente.,Baixa
NingboTech Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,NingboTech University,NingboTech Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Amy Insists Biopharmaceut Co LTD,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Amy Insists Biopharmaceut Co LTD,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Technol Inst Philippines,,revisar_manualmente,revisao_manual,Indefinido,Technology Institute Philippines,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Wales Vet Sci Ctr,,revisar_manualmente,revisao_manual,Indefinido,Wales Vet Science Center,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Iechyd Da Gwledig,,revisar_manualmente,revisao_manual,Indefinido,Iechyd Da Gwledig,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Shahrekord Unvers,,revisar_manualmente,revisao_manual,Indefinido,Shahrekord Unvers,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Acharya Narendra Deva Univ Agr & Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Acharya Narendra Deva University Agricultural & Technology,Acharya Narendra Deva Univ Agr & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Cent Potato Res Inst,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Cent Potato Research Institute,Cent Potato Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
ICAR Res Complexfor North Eastern Hill Reg,,revisar_manualmente,revisao_manual,Indefinido,ICAR Research Complexfor North Eastern Hill Reg,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Agr Res Educ & Extens Org,,revisar_manualmente,revisao_manual,Indefinido,Agricultural Research Educ & Extens Org,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Ethiopia Minist Hlth,,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ethiopia Ministry Health,,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Zanmi Lasante,,revisar_manualmente,revisao_manual,Indefinido,Zanmi Lasante,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Ethiopian Publ Hlth Inst,,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Ethiopian Publ Health Institute,,Não cadastrar como instituição de ensino principal.,Alta
Kathmandu Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Kathmandu University,Kathmandu Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Haitian Fdn Diabet & Cardiovasc Dis FHADIMAC,,revisar_manualmente,revisao_manual,Indefinido,Haitian Fdn Diabet & Cardiovasc Dis FHADIMAC,,Não há padrão suficiente para corrigir automaticamente.,Baixa
